created_at,text
2021-12-01 14:02:54,The #farmers and leaders should demand a table talk with this #Hitler govt - should REFUSE to cooperate if they don… https://t.co/rxLeY1lgl9
2021-12-01 13:51:18,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 13:50:16,"@swilkinsonbc #Modi is #Hitler of 21 century. Under #ModiHitler Kashmiris are facing the worst Atrocities. Beating,… https://t.co/0LnibiUdNK"
2021-12-01 13:49:27,"#Hitler was an Austrian born but ruled Germany for 12 years. 

#Congress interim President is Italian born and rule… https://t.co/bvxPI1WIPZ"
2021-12-01 13:48:24,Even #Nazi was thinking that they can't be defeated. Look now #Nazi &amp; #Hitler didn't have a place in #Germany Now e… https://t.co/CqjczV1zxB
2021-12-01 13:47:43,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 13:41:39,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 13:32:26,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 13:27:31,What sort of #EViL POSSESSES #JoeBiden to get up on that podium of power to further dictate unconstitutional mandat… https://t.co/MJOo6FCSmP
2021-12-01 13:10:53,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 13:01:59,"The #US President is still wiping out Indians by appointing them as CEOs in tech giant companies, a delusion imposs… https://t.co/ZBrhxap5dI"
2021-12-01 13:01:25,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 12:40:02,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-12-01 12:38:43,"🌍If hitler killed jews, no body knows, no evidence 

but we as Muslims are Against #hitler's #Terrorism.

Bin laden… https://t.co/GIHZvLnsYm"
2021-12-01 12:38:01,"RT @AlexCO_777: #trump literally enjoys the same loyalty as #Hitler did… Except, #Hitler did things that suggested he might be worthy of su…"
2021-12-01 12:33:09,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-12-01 11:58:01,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-12-01 11:42:01,#Hitler #Nations Knowledge is power site airs: Professor #Huntington of #Harvard says #AmericanEthos is #Anglo-Prot… https://t.co/WnfPiblrFy
2021-12-01 11:25:09,"RT @slipperyhero: @niceDonaIdTrump @foggybottomgal To be fair, #hitler &amp; the #nazis #copied #Stalin's #propaganda techniques. https://t.co/…"
2021-12-01 11:15:38,Our brand new video about the WW2 Air Raid on Bari. It led to the invention of Cancer Chemotherapy. Brilliant ! See… https://t.co/vwBzf7xoH7
2021-12-01 11:11:27,"#NHS is already overwhelmed &amp; not necessarily with #Covid19 cases.
Nothing works like fear.
Frighten people enough… https://t.co/FRtv0oEJVh"
